proj_hva_layer,in_vivo_sig_corr.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,1.1380414329938986,0.20423340104052135,inf,0.7377513225143517,1.5383315434734455,5.572259127037223,2.5145702736837504e-08,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,3.0174843284205005e-07
V1L2/3->V1L4,0.5057999701263605,0.3469533159959417,inf,-0.17421603354242976,1.1858159737951506,1.4578329325789663,0.14488659845588833,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.2173298976838325
V1L2/3->V1L5,1.8133305830935962,0.19418460263507292,inf,1.4327357555766316,2.193925410610561,9.338179023912367,9.800510360625861e-21,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,2.3521224865502066e-19
V1L2/3->HVAL2/3,0.4632776777813254,0.40641364532913676,inf,-0.33327842988941764,1.2598337854520685,1.1399166418394662,0.254321031084101,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.321247618211496
V1L2/3->HVAL4,1.0877100531801722,0.610368686729778,inf,-0.1085905901012032,2.2840106964615474,1.7820541532166156,0.07474040119721248,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.11958464191553997
V1L2/3->HVAL5,1.4325805435749834,0.4883007384788156,inf,0.47552868253219327,2.3896324046177737,2.93380785791528,0.003348314153078047,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.008035953967387313
V1L4->V1L2/3,0.5738875647165289,0.47084328020602256,inf,-0.348948306849976,1.496723436283034,1.2188504940867335,0.22290094246026038,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.2972012566136805
V1L4->V1L4,1.1588996577158395,0.40173335446580055,inf,0.37151675157440733,1.9462825638572716,2.884748415418158,0.003917265696051747,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.008546761518658358
V1L4->V1L5,1.7389782057698338,0.38651144758943096,inf,0.9814296888821086,2.496526722657559,4.499163521844897,6.822136736981396e-06,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,4.093282042188838e-05
V1L5->V1L4,-1.058804143007308,0.7540827884359957,inf,-2.5367792497033967,0.4191709636887804,-1.4040953582872766,0.16029045564918862,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.2262924079753251
V1L5->V1L5,0.9929268995149265,0.359826891517927,inf,0.2876791514707887,1.6981746475590644,2.7594571804410504,0.00578974740683624,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.01157949481367248
HVAL2/3->V1L2/3,0.9108271924221453,0.2775552670625648,inf,0.36682886526012215,1.4548255195841684,3.281606586182464,0.0010321750595533757,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.0035388859184687163
HVAL2/3->V1L4,1.304148853708366,0.6230055776924318,inf,0.08308035926362956,2.5252173481531024,2.093318102445953,0.036320767741538466,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.0622641732712088
HVAL2/3->V1L5,1.297530816755937,0.2917640436404837,inf,0.7256837992368165,1.8693778342750575,4.447192328999852,8.699993797330452e-06,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,4.175997022718617e-05
HVAL2/3->HVAL2/3,-0.026762394273871365,0.20575615641454484,inf,-0.43003705044376916,0.3765122618960265,-0.13006849826622996,0.8965122331012648,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.8965122331012648
HVAL2/3->HVAL4,1.1010102594062912,0.3052349142495387,inf,0.5027608206530237,1.6992596981595587,3.6070914826807208,0.00030964851032445824,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.001238594041297833
HVAL2/3->HVAL5,1.2167451096942132,0.26161110640627916,inf,0.7039967631822304,1.729493456206196,4.650968861408435,3.3037921547332143e-06,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,2.6430337237865715e-05
HVAL4->HVAL2/3,0.882124629282231,0.33340288093874654,inf,0.22866699030039228,1.5355822682640698,2.645821856123363,0.008149272037634683,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.015044809915633261
HVAL4->HVAL4,1.2866942231141705,0.4357545894498163,inf,0.43263092169449324,2.1407575245338477,2.952795574083914,0.0031491043026053837,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.008035953967387313
HVAL4->HVAL5,1.7808633535249947,0.5611821642141435,inf,0.6809665228990314,2.880760184150958,3.1734140303957146,0.0015065751179429193,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.0045197253538287584
HVAL5->V1L5,-0.4058914492194412,0.7383023502471583,inf,-1.8529374654051478,1.0411545669662654,-0.5497631818232228,0.5824818148308966,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.6354347070882508
HVAL5->HVAL2/3,0.05656837294692265,0.39058010054087233,inf,-0.7089545571912202,0.8220913030850655,0.14483168207644784,0.8848437672680617,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.8965122331012648
HVAL5->HVAL4,0.5477441626873663,0.5807546669767644,inf,-0.5905140684406447,1.6860023938153772,0.9431592957121792,0.34559942995086246,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.3949707770867
HVAL5->HVAL5,0.4460663891716183,0.41265110470065014,inf,-0.36271491422232277,1.2548476925655594,1.0809770871574635,0.27970730599010873,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.33564876718813047
