effect,contrast,t,p,proj_hva,type,n,p_adj
total effect,n_synapses vs pred_n_synapses,218.0,1.7919052096786783e-05,HVA->HVA,post,52,4.300572503228828e-05
total effect,n_synapses vs pred_n_synapses,616.0,0.5061752754224703,HVA->HVA,pre_post,52,0.9723939907699813
total effect,n_synapses vs pred_n_synapses,48.0,1.7856655176728964e-07,HVA->V1,post,38,7.142662070691586e-07
total effect,n_synapses vs pred_n_synapses,329.0,0.5562649055791553,HVA->V1,pre_post,38,0.9723939907699813
total effect,n_synapses vs pred_n_synapses,54.0,0.3060455322265625,V1->HVA,post,17,0.3060455322265625
total effect,n_synapses vs pred_n_synapses,47.0,0.17425537109375,V1->HVA,pre_post,17,0.9723939907699813
total effect,n_synapses vs pred_n_synapses,52.0,2.297514583915472e-06,V1->V1,post,35,6.892543751746416e-06
total effect,n_synapses vs pred_n_synapses,314.0,0.9935490260832012,V1->V1,pre_post,35,0.9935490260832012
axonal effect,dend_len vs pred_dend_len,335.0,0.0012648028738607496,HVA->HVA,post,52,0.0018972043107911244
axonal effect,dend_len vs pred_dend_len,651.0,0.729295493077486,HVA->HVA,pre_post,52,0.9723939907699813
axonal effect,dend_len vs pred_dend_len,26.0,7.777998689562082e-09,HVA->V1,post,38,4.6667992137372494e-08
axonal effect,dend_len vs pred_dend_len,365.0,0.9428718028502772,HVA->V1,pre_post,38,0.9935490260832012
axonal effect,dend_len vs pred_dend_len,50.0,0.2246856689453125,V1->HVA,post,17,0.24511163884943182
axonal effect,dend_len vs pred_dend_len,62.0,0.51708984375,V1->HVA,pre_post,17,0.9723939907699813
axonal effect,dend_len vs pred_dend_len,6.0,8.149072527885437e-10,V1->V1,post,35,9.778887033462524e-09
axonal effect,dend_len vs pred_dend_len,300.0,0.8145777874160558,V1->V1,pre_post,35,0.9774933448992669
synaptic effect,n_synapses vs pred_n_synapses|dend_len,324.0,0.0008872836886091404,HVA->HVA,post,52,0.0015210577519013835
synaptic effect,n_synapses vs pred_n_synapses|dend_len,617.0,0.5120184538779904,HVA->HVA,pre_post,52,0.9723939907699813
synaptic effect,n_synapses vs pred_n_synapses|dend_len,129.0,0.000261875509750098,HVA->V1,post,38,0.000523751019500196
synaptic effect,n_synapses vs pred_n_synapses|dend_len,310.0,0.38846379591996083,HVA->V1,pre_post,38,0.9723939907699813
synaptic effect,n_synapses vs pred_n_synapses|dend_len,31.0,0.030517578125,V1->HVA,post,17,0.040690104166666664
synaptic effect,n_synapses vs pred_n_synapses|dend_len,68.0,0.7118988037109375,V1->HVA,pre_post,17,0.9723939907699813
synaptic effect,n_synapses vs pred_n_synapses|dend_len,217.0,0.11098843696527183,V1->V1,post,35,0.1331861243583262
synaptic effect,n_synapses vs pred_n_synapses|dend_len,282.0,0.5987840640591457,V1->V1,pre_post,35,0.9723939907699813
