proj_hva_layer,delta_ori_cvt_monet_full.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,-0.00045632493722203417,0.0025091870612319552,inf,-0.005374241207710565,0.004461591333266496,-0.1818616651872853,0.855691289499,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9269988969572499
V1L2/3->V1L4,0.007610244533391823,0.003837224329051941,inf,8.942304784914732e-05,0.015131066018934498,1.9832680815072594,0.04733749271171784,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.20512913508411063
V1L2/3->V1L5,-0.007388883020971576,0.0021301841885000574,inf,-0.011563967310868369,-0.0032137987310747827,-3.4686592177619935,0.0005230624827262787,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.006799812275441622
V1L2/3->HVAL2/3,-0.001621608466325911,0.0056866673244801375,inf,-0.012767271614367727,0.009524054681715906,-0.28515972076389307,0.7755217778957949,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9269988969572499
V1L2/3->HVAL5,-0.015839203073668436,0.005769427714463401,inf,-0.02714707360542394,-0.004531332541912932,-2.7453681469933446,0.006044305048948961,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.03928798281816825
HVAL2/3->V1L2/3,-0.003956533808475849,0.003877817622304223,inf,-0.01155691668680687,0.003643849069855173,-1.0202990944491226,0.30758663268176045,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.7830549761220981
HVAL2/3->V1L5,-0.002669458957117735,0.0037957159570889505,inf,-0.010108925528556058,0.004770007614320587,-0.703282065174609,0.48187998530590653,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.7830549761220981
HVAL2/3->HVAL2/3,-0.0027204762500789874,0.0036342336734359964,inf,-0.009843443361416238,0.004402490861258264,-0.7485694356870854,0.4541167597639552,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.7830549761220981
HVAL2/3->HVAL4,0.00026157932082133235,0.005807456310181391,inf,-0.011120825888924064,0.011643984530566729,0.04504197825177649,0.964073849083662,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.964073849083662
HVAL2/3->HVAL5,0.0008532948508789481,0.0037012349614263355,inf,-0.006400992371837164,0.00810758207359506,0.2305432807621908,0.8176696358991533,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9269988969572499
HVAL4->HVAL2/3,0.00142563234272774,0.005212334723172797,inf,-0.008790355990058491,0.011641620675513971,0.2735112801543076,0.7844602224945407,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9269988969572499
HVAL5->HVAL2/3,-0.002993054397678232,0.0036812401390731563,inf,-0.010208152488704837,0.004222043693348372,-0.8130560041192553,0.4161859494789038,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.7830549761220981
HVAL5->HVAL5,-0.004101107884215645,0.003889857174251871,inf,-0.011725087850754056,0.0035228720823227665,-1.0543080890892615,0.29174188648069427,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.7830549761220981
