proj_hva_layer,in_silico_sig_corr_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,2.026243832883147,0.3231013209729897,inf,1.3929768804187712,2.6595107853475226,6.271233515175058,3.581989357787986e-10,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,2.8655914862303887e-09
V1L2/3->V1L4,2.973183492535953,0.5390198691668643,inf,1.9167239620174072,4.029643023054499,5.515907042780171,3.4698563923481246e-08,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,1.6655310683270997e-07
V1L2/3->V1L5,4.022386115582738,0.3004879896944988,inf,3.4334404779946777,4.6113317531707985,13.386179326741917,7.283207223585212e-41,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,1.747969733660451e-39
V1L2/3->HVAL2/3,0.8082522093408402,0.7691184009943584,inf,-0.6991921564551371,2.3156965751368173,1.0508813835371609,0.29331307158780395,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.3519756859053647
V1L2/3->HVAL4,2.1670042341919094,1.157522463354215,inf,-0.10169810527843604,4.435706573662255,1.8721055554399046,0.06119200157517063,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.09178800236275594
V1L2/3->HVAL5,3.9414591829257124,0.8106021627749584,inf,2.35270813809652,5.530210227754905,4.862384242145121,1.1598020614935107e-06,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,3.479406184480532e-06
V1L4->V1L2/3,1.0966892887411417,0.8296733628824186,inf,-0.5294406214406291,2.7228191989229122,1.321832588346656,0.18622390401998937,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.24829853869331917
V1L4->V1L4,2.1803300741419536,0.5843056318588693,inf,1.0351120797346505,3.3255480685492564,3.7314890619924426,0.00019035127639333783,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.0005076034037155675
V1L4->V1L5,3.19418964387996,0.525346089489684,inf,2.1645302290612234,4.223849058698697,6.080162597160977,1.2006073660469187e-09,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,7.203644196281512e-09
V1L5->V1L4,-1.2706770512197882,1.1943788642174988,inf,-3.611616608981941,1.0702625065423643,-1.0638810592585932,0.28738258439140285,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.3519756859053647
V1L5->V1L5,1.507872318061662,0.6924156700714986,inf,0.15076254239035647,2.8649820937329675,2.1776981417909846,0.029428517353934248,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.05432957049957092
HVAL2/3->V1L2/3,0.8368959247384514,0.443139743867767,inf,-0.03164201336067596,1.705433862837579,1.888559842170648,0.05895083223379029,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.09178800236275594
HVAL2/3->V1L4,1.3041465028862107,0.9106770967304435,inf,-0.4807478082509571,3.0890408140233783,1.4320624813871128,0.1521259406405112,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.21476603384542756
HVAL2/3->V1L5,2.730181989271439,0.4041271430147618,inf,1.9381073437874383,3.52225663475544,6.755750106029655,1.4209815213566675e-11,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,1.7051778256280011e-10
HVAL2/3->HVAL2/3,-0.10753684531360054,0.29900050158327507,inf,-0.6935670597762309,0.47849336914902985,-0.3596543977156182,0.7191055983559662,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.7410597075600321
HVAL2/3->HVAL4,1.5846361489326837,0.44894091724101226,inf,0.7047281199539228,2.4645441779114448,3.529720923348089,0.0004159982253708724,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.0009983957408900936
HVAL2/3->HVAL5,1.8343700997318304,0.3665592149479068,inf,1.115927240232657,2.552812959231004,5.004294053806614,5.606711668202597e-07,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,2.242684667281039e-06
HVAL4->HVAL2/3,1.20321097516972,0.47777762467018764,inf,0.26678403819705676,2.1396379121423834,2.5183493597053705,0.011790630702117782,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.023581261404235564
HVAL4->HVAL4,2.515000648221338,0.5058595214988529,inf,1.5235342048469214,3.5064670915957548,4.971737293328857,6.635558154568727e-07,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,2.2750485101378493e-06
HVAL4->HVAL5,2.1539451862377432,0.7064477327926487,inf,0.7693330730041763,3.53855729947131,3.0489802518340774,0.0022961957523015665,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.0050098816413852365
HVAL5->V1L5,1.8781003988623033,0.9598508766227339,inf,-0.0031727498474536375,3.75937354757206,1.9566585233223517,0.05038762940770092,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.08637879327034442
HVAL5->HVAL2/3,0.30792227330069954,0.47537104146224834,inf,-0.6237878472586037,1.2396323938600027,0.6477514329722864,0.517145732329005,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.5910236940902914
HVAL5->HVAL4,0.24811504695608644,0.7508391264788057,inf,-1.2235025991258868,1.7197326930380596,0.3304503430976837,0.7410597075600321,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.7410597075600321
HVAL5->HVAL5,0.31313965642521474,0.5233467460858687,inf,-0.7126011173293163,1.3388804301797457,0.5983406962347598,0.549612627329721,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY,0.599577411632423
