proj_hva_layer,readout_location_distance_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,0.020120069409172048,0.009923774887963113,inf,0.000669828038081341,0.039570310780262755,2.0274612872946536,0.04261525967306993,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.2556915580384196
V1L2/3->V1L4,0.04985896903059775,0.01625664167931127,inf,0.017996536829574923,0.08172140123162058,3.0669907114979287,0.002162255760984689,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.05189413826363254
V1L2/3->V1L5,0.0117106536353943,0.009684973555162676,inf,-0.007271545723947387,0.030692852994735988,1.2091570068512798,0.2266025314726352,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.5263973561756615
V1L2/3->HVAL2/3,0.007520607142821368,0.015404235827411062,inf,-0.022671140288265865,0.037712354573908605,0.4882168273117986,0.6253962666971349,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8338616889295132
V1L2/3->HVAL4,0.013947001831043908,0.02123233709970707,inf,-0.027667614191995565,0.05556161785408338,0.6568754897564398,0.511260979399681,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8180175670394896
V1L2/3->HVAL5,0.0011904200896618402,0.01882442107093464,inf,-0.03570476723918697,0.03808560741851064,0.0632380717141882,0.9495769285904239,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.9495769285904239
V1L4->V1L2/3,0.02011391128101918,0.02714855788000295,inf,-0.03309628439598767,0.07332410695802602,0.7408832310696937,0.4587642438159241,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8096925914805301
V1L4->V1L4,0.06020163715066688,0.021771423814964556,inf,0.01753043058117873,0.10287284372015502,2.765167664839971,0.00568935447260605,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.06827225367127261
V1L4->V1L5,0.0419638551540229,0.024202455536439623,inf,-0.005472086034830785,0.08939979634287659,1.7338676685446819,0.08294156566161702,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.39811951517576166
V1L5->V1L4,-0.016252798120178453,0.03294837693722507,inf,-0.0808304302661897,0.048324834025832805,-0.4932806903096961,0.6218142703120859,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8338616889295132
V1L5->V1L5,0.03374861609639031,0.026463045093331482,inf,-0.01811799920779878,0.08561523140057939,1.2753111358637537,0.20219913776075504,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.5263973561756615
HVAL2/3->V1L2/3,-0.015312073211918192,0.012459518259306555,inf,-0.03973228026487822,0.009108133841041836,-1.2289458463196152,0.21909211061725667,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.5263973561756615
HVAL2/3->V1L4,0.0038059260260127985,0.027019967397598075,inf,-0.049152236936725865,0.05676408898875146,0.14085605544998267,0.8879836586084975,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.938795922247484
HVAL2/3->V1L5,-0.020121270004162493,0.013536156310306335,inf,-0.046651648861467485,0.006409108853142501,-1.4864832780367865,0.13715133669827387,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.5263973561756615
HVAL2/3->HVAL2/3,0.003536850702503279,0.008389286440375695,inf,-0.012905848576623313,0.01997954998162987,0.4215913627029391,0.6733233118141204,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8493215197057621
HVAL2/3->HVAL4,-0.0016040616430137477,0.012723950465872573,inf,-0.026542546297195626,0.023334423011168132,-0.12606632250856895,0.8996794254871722,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.938795922247484
HVAL2/3->HVAL5,-0.003918510203709167,0.010453388484810483,inf,-0.024406775150343434,0.0165697547429251,-0.3748555034956408,0.7077679330881351,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8493215197057621
HVAL4->HVAL2/3,0.013034035793443213,0.011122807620921873,inf,-0.008766266550531296,0.03483433813741772,1.1718296528770615,0.24126545491384488,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.5263973561756615
HVAL4->HVAL4,0.01379426303133214,0.01403478522625087,inf,-0.013713410542874394,0.04130193660553867,0.9828624242522177,0.3256751535683432,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.6513503071366864
HVAL4->HVAL5,0.04846021326301708,0.020054968455256356,inf,0.009153197379627748,0.08776722914640642,2.416369458328207,0.01567614618382676,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.1254091694706141
HVAL5->V1L5,0.016466830110146942,0.02925495342557633,inf,-0.040871824973379337,0.07380548519367322,0.5628732293844881,0.5735212106551878,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8338616889295132
HVAL5->HVAL2/3,0.008056779267390266,0.011210082660571436,inf,-0.013914579011046691,0.030028137545827224,0.7187082835461956,0.47232067836364255,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8096925914805301
HVAL5->HVAL4,0.021243803503826392,0.016988618077492846,inf,-0.01205327607516567,0.05454088308281846,1.250472722791442,0.21112691357910943,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.5263973561756615
HVAL5->HVAL5,-0.004212954951624792,0.014324895357516082,inf,-0.03228923393466133,0.023863324031411743,-0.2941002252707075,0.7686813187517515,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8784929357162874
