proj_hva_layer,readout_location_distance_sta.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,-0.06807889428077972,0.0010587301848983953,inf,-0.070153967312526,-0.06600382124903344,-64.30240230405175,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.0
V1L2/3->V1L4,-0.04491656022779706,0.0013050424649541812,inf,-0.04747439645740263,-0.04235872399819149,-34.41770013926254,1.370660739997337e-259,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.0965285919978697e-258
V1L2/3->V1L5,-0.03586440218209549,0.0014600386999714138,inf,-0.03872602545007414,-0.033002778914116834,-24.564007914857104,3.0643970404119097e-133,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.0506504138555118e-132
V1L2/3->HVAL2/3,-0.020109713287695858,0.0016084671623015246,inf,-0.023262250996122186,-0.01695717557926953,-12.502408354374644,7.242345138652968e-36,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.0224487254568896e-35
V1L2/3->HVAL4,-0.02132310499096288,0.002173323343409515,inf,-0.025582740470805703,-0.017063469511120057,-9.811289726226905,1.0067350197705433e-22,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.3423133596940576e-22
V1L2/3->HVAL5,-0.017839247600020054,0.002602851049359183,inf,-0.02294074191388634,-0.012737753286153768,-6.853733564358991,7.194702880174194e-12,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,7.848766778371849e-12
V1L4->V1L2/3,-0.05586671184812241,0.0032151240351300583,inf,-0.062168239162806414,-0.04956518453343841,-17.37622288835351,1.2491473115490545e-67,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.725412316107028e-67
V1L4->V1L4,-0.0341858631487336,0.0025515443270851547,inf,-0.03918679813477799,-0.029184928162689208,-13.398106701829086,6.202529828875679e-41,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,9.924047726201086e-41
V1L4->V1L5,-0.03904804068241164,0.0030394060654093794,inf,-0.04500516710500661,-0.03309091425981667,-12.847260235085514,8.91106956977114e-38,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.336660435465671e-37
V1L5->V1L4,-0.024118090839113916,0.002521822623168653,inf,-0.029060772355922797,-0.019175409322305034,-9.563753857045544,1.1356124757385737e-21,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.43445786409083e-21
V1L5->V1L5,-0.019007999618921422,0.0024161362811405238,inf,-0.02374353971169739,-0.014272459526145455,-7.86710574535506,3.629398504606588e-15,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,4.1478840052646714e-15
HVAL2/3->V1L2/3,-0.002021704303990945,0.0012294040709990154,inf,-0.0044312920055959385,0.00038788339761404835,-1.6444587680176668,0.10008147451125371,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.10443284296826473
HVAL2/3->V1L4,-0.01792200305005359,0.0019341292679730096,inf,-0.021712826756725506,-0.014131179343381671,-9.266186778113369,1.9291980233465247e-20,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.3150376280158296e-20
HVAL2/3->V1L5,-0.0008030788018730041,0.0013131180694746678,inf,-0.0033767429254921173,0.0017705853217461088,-0.6115815634113447,0.5408146391746911,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.5408146391746911
HVAL2/3->HVAL2/3,-0.041480341619221595,0.0007208755099354644,inf,-0.04289323165603205,-0.04006745158241114,-57.54161578180826,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.0
HVAL2/3->HVAL4,-0.03265772022262131,0.0009524534029856662,inf,-0.03452449458942583,-0.030790945855816793,-34.287997838265674,1.184754420142824e-257,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,7.108526520856944e-257
HVAL2/3->HVAL5,-0.029897034978755503,0.0009928840248524843,inf,-0.03184305190829154,-0.027951018049219463,-30.111306285945524,3.446152590426995e-199,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.6541532434049576e-198
HVAL4->HVAL2/3,-0.03657218543508783,0.0013452604171046412,inf,-0.03920884740244025,-0.0339355234677354,-27.185952229086553,9.521292746533232e-163,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,3.808517098613293e-162
HVAL4->HVAL4,-0.029838707100480914,0.0014088852113308765,inf,-0.03260007137304054,-0.027077342827921295,-21.178948334828746,1.4932900284377532e-99,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,3.5838960682506077e-99
HVAL4->HVAL5,-0.038912282913471076,0.001816118497378193,inf,-0.042471809759989335,-0.03535275606695282,-21.426070473730707,7.635933397830981e-102,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.0362489060882616e-101
HVAL5->V1L5,-0.03195570625804786,0.0023119416511759206,inf,-0.03648702862871073,-0.027424383887384995,-13.82202108854878,1.877241886423143e-43,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,3.2181289481539595e-43
HVAL5->HVAL2/3,-0.02014223422722154,0.0012069870174363367,inf,-0.022507885311204175,-0.017776583143238902,-16.6880288986074,1.6017221770256687e-62,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.9570255575858502e-62
HVAL5->HVAL4,-0.023868604816880717,0.0013947111468338696,inf,-0.026602188433511656,-0.02113502120024978,-17.11365458795162,1.1739693582174275e-65,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.347938716434855e-65
HVAL5->HVAL5,-0.03269808692384088,0.0014253827535643793,inf,-0.035491785785011595,-0.029904388062670165,-22.939864287030627,1.8600905072462083e-116,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,5.580271521738625e-116
